Article_ID;Sentence;Compound;Date
31530;"""In the context of a fairly heavy world wheat market.";0.0;2009-06-18 00:00:00
31530;"this situation is rather bearish for EU wheat prices.""";0.0;2009-06-18 00:00:00
31530;saidthat the country'swheat harvest might drop bymore than40%to about 4m tonnes this year because of drought.;-0.2732;2009-06-18 00:00:00
31530;UK 'poised to leave list of grain exporters' Opinion: wheat's best hope may lie in inflation 'Extreme drought' prompts cut to Spanish barley  /* customize styles to your web.site */ .mp_releases_box {  border: solid #999999 1px.;0.8126;2009-06-18 00:00:00
31531;Wheat giant India is the world's second biggest wheat producing country.;0.0;2009-06-18 00:00:00
31531;India's wheat inventories are poised to reach a near.record 36m tonnes.;0.2732;2009-06-18 00:00:00
31531;India's plege to feed poor may dent wheat exports  /* customize styles to your web.site */ .mp_releases_box {  border: solid #999999 1px.;-0.3612;2009-06-18 00:00:00
31560;19  Jun 2009. by Agrimoney.com NAB lifts forecast for Australian wheat crop Timely rainfall means Australian wheat growers will reap a better 2009 cropthan previously thought .;0.4404;2009-06-19 00:00:00
31560;"noting that wheat harvests looked ""good globally"".";0.4404;2009-06-19 00:00:00
31560;Australia on course for bumper wheat harvest Two.thirds of Australian grain barons in the red  /* customize styles to your web.site */ .mp_releases_box {  border: solid #999999 1px.;0.1531;2009-06-19 00:00:00
31561;19  Jun 2009. by Agrimoney.com Russia 'to enjoy second bumper wheat harvest' Russia is on course for a second successive bumper wheat harvest thanks to rise of roughly 1.6m hectares in plantings and.;0.802;2009-06-19 00:00:00
31561;are expected to send wheat output tumbling some 30% in neighbouring Ukraine.;0.0;2009-06-19 00:00:00
31561;Siberia accounts for nearly half Russia's spring wheat area.;0.0;2009-06-19 00:00:00
31561;Plantings rise The country's winter wheat area had risen by 500.000 hectares to a record 13.2m hectares.;0.0;2009-06-19 00:00:00
31561;The US Department of Agriculture earlier this month raised its forecast for Russia's wheat crop by 1m tonnes to 59m tonnes.;0.0;2009-06-19 00:00:00
31561;Former Soviet bloc 'to tighten hold on wheat' Russia keeping grain to 'avoid loss of face' Opinion: Russia's grain ambitions look serious  /* customize styles to your web.site */ .mp_releases_box {  border: solid #999999 1px.;-0.4939;2009-06-19 00:00:00
31584;freeing land for growing corn and wheat.;0.5859;2009-06-22 00:00:00
31584;"wheat and corn.""";0.0;2009-06-22 00:00:00
31585;A comparison for wheat with the 1970s sends a similarly disappointing signal.;-0.4939;2009-06-22 00:00:00
31585;The Chicago wheat price graph for 2005.09 bears a striking similarity to that of 1971.76. as Mr Allen shows.;0.0;2009-06-22 00:00:00
31588;NAB lifts forecast for Australian wheat crop  /* customize styles to your web.site */ .mp_releases_box {  border: solid #999999 1px.;0.1531;2009-06-22 00:00:00
31605;The country's ethanol industry will consume 3.93m tonnes of corn and wheat by 2018.19. a 20% rise from current levels.;0.0;2009-06-23 00:00:00
31606;23  Jun 2009. by Agrimoney.com Aussies peg wheat stocks 20m tonnes below US The US estimate for global wheat stocks at the end of next year may be 20m tonnes too generous.;0.5106;2009-06-23 00:00:00
31606;he Australian Bureau of Agricultural and Resource Economics has pegged wheat inventories at 162m tonnes at the end of the 2009.10 marketing year.;0.0;2009-06-23 00:00:00
31606;While accounting differences may explain part of the mismatch  Australia starts its wheat marketing year in October.;0.0;2009-06-23 00:00:00
31606;The bureau also raised by 13m tonnes to 641m tonnes its forecast for global wheat use.;0.0;2009-06-23 00:00:00
31628;which follows a year.long investigation into the wheat market.;0.0;2009-06-24 00:00:00
31628;"were ""at least partially responsible for higher wheat prices"" last year.";0.3182;2009-06-24 00:00:00
31628;Chicago's benchmark wheat contract touched $13.34  a bushel in February 2008. more than twice today's price The Commodity Futures Trading Commission was also to blame for allowing some index funds waivers from limits of 6.500 on the number of wheat contracts that can be held in the hands of a single investor.;-0.2732;2009-06-24 00:00:00
31628;between 2006. which opened with a wheat price of $339.5 a bushel.;0.0;2009-06-24 00:00:00
31628;"""That means that the six index traders granted waivers from trading limits may have held up to about 60% of all the outstanding wheat contracts held by index traders.""";0.7184;2009-06-24 00:00:00
31631;said it disagreed with findings of a Senate report published on Wednesday that index funds holding $200bn in assets had fuelled last year's spike in wheat prices.;-0.1531;2009-06-24 00:00:00
31631;"""All... concluded that there is no causality between market participation of index funds and non.commercial traders and wheat price levels.""";-0.296;2009-06-24 00:00:00
31679;While investors may be right in expecting the report to show that US farmers have sown less wheat and corn than previously thought .;0.0;2009-06-26 00:00:00
31679;Prices of soybeans and wheat rose by up to 31%.;0.0;2009-06-26 00:00:00
31679;soybeans and wheat .;0.0;2009-06-26 00:00:00
31679;with wheat sowings pegged nearly 400.000 acres lower at 58.2m acres.;-0.296;2009-06-26 00:00:00
31728;soybeans and wheat too.;0.0;2009-06-30 00:00:00
31728;with wheat too touching limit down.;0.0;2009-06-30 00:00:00
31728;Chicago's July wheat contract pulled back to $5.10 a bushel.;0.0;2009-06-30 00:00:00
31728;The USDA pegged plantings of spring wheat at 13.8m acres.;0.0;2009-06-30 00:00:00
31754;The jump was led by growth in wheat shipments.;0.3818;2009-07-01 00:00:00
31754;Exclusive: 'low' wage hurts Landkom's CEO quest Russia 'to enjoy second bumper wheat harvest' Former Soviet bloc 'to tighten hold on wheat'  /* customize styles to your web.site */ .mp_releases_box {  border: solid #999999 1px.;0.296;2009-07-01 00:00:00
31776;"Mr Pisk added that wheat was being left out of the loop for genetically modified ""improvement"".";0.0;2009-07-02 00:00:00
31777;which was blamed in a Senate paper last week for helping fuel the 2008 spike in wheat prices.;-0.2263;2009-07-02 00:00:00
31778;The association estimated the wheat harvest at 24.6m tonnes.;0.0;2009-07-02 00:00:00
31798;Pricing details Shares in Australia's grain handlers have been helped by official forecasts of an Australian wheat harvest of 22.0m tonnes in 2009.10. with data from farm marketing adviser ProFarmer on Friday signalling a higher potential production.;0.296;2009-07-03 00:00:00
31799;3  Jul 2009. by Mike Verdin Australian wheat crop may beat official forecasts Australia's wheat harvest may prove even stronger than official statisticians believe thanks to timely rains and a switch away from barley.;0.6705;2009-07-03 00:00:00
31799;A survey of 900 farmers by the Perth.based grain intelligence group revealed a rise 19% in wheat plantings.;0.4767;2009-07-03 00:00:00
31799;The data contrasts with the small decline in wheat acres forecast by Australia's official agricultural economics bureau.;0.0;2009-07-03 00:00:00
31799;"ProFarmer also said its forecast of a 10% decline in barley plantings ""logically... looks better"" than Abare's forecast of a 1% cut because of the weakness in the grain's prices compared with wheat's.";-0.25;2009-07-03 00:00:00
31799;Aussies peg wheat stocks 20m tonnes below US Australia on course for bumper wheat harvest  /* customize styles to your web.site */ .mp_releases_box {  border: solid #999999 1px.;0.1531;2009-07-03 00:00:00
31821;India monsoon alert helps sugar to three.year high India's plege to feed poor may dent wheat exports  /* customize styles to your web.site */ .mp_releases_box {  border: solid #999999 1px.;0.3182;2009-07-06 00:00:00
31823;its forecast for Chicago wheat prices in the July.to.September period.;0.0;2009-07-06 00:00:00
31823;wheat would be at its cheapest since the first quarter of 2007. when prices averaged about $4.5 a bushel.;0.0;2009-07-06 00:00:00
31823;following higher.than.expected wheat sowings.;0.0;2009-07-06 00:00:00
31823;EU's wheat outlook 'rather bearish' Opinion: wheat's best hope may lie in inflation  /* customize styles to your web.site */ .mp_releases_box {  border: solid #999999 1px.;0.8271;2009-07-06 00:00:00
31824;Russia aims to the world's dominant source of wheat exports by 2018.;0.0;2009-07-06 00:00:00
31843;Barley slump The briefing estimated Russia's total wheat harvest at 60m tonnes.;0.0;2009-07-07 00:00:00
31863;"an El Nino would ""not likely have a material impact"" on wheat prices.";0.0;2009-07-08 00:00:00
31863;Cocoa prices to stay volatile 'far into 2010' El Nino fears accelerate wheat revival  /* customize styles to your web.site */ .mp_releases_box {  border: solid #999999 1px.;-0.296;2009-07-08 00:00:00
31865;8  Jul 2009. by Agrimoney.com High quality of US wheat 'could revive prices' The high quality of the US spring wheat crop could spark a rebound in Chicago prices from their current six.month lows.;0.3612;2009-07-08 00:00:00
31865;"While the proportion of America's spring wheat crop rated as ""good"" or ""excellent"" by the US Department of Agriculture this week fell by four percentage points to 72%.";0.0;2009-07-08 00:00:00
31865;Millers light Providing at least 70% of this year's crop remained within the top two quality grades.itshould attract buyers struggling to find premium wheat amid bumper stocks of lower.quality grain.;0.128;2009-07-08 00:00:00
31865;"""Demand will return to buy this crop as millers here and abroad are in desperate need of high protein milling wheat.""";-0.4215;2009-07-08 00:00:00
31865;adding that wheat would hit its low this month.;-0.2732;2009-07-08 00:00:00
31865;Chicago wheat for July.;0.0;2009-07-08 00:00:00
31865;Wheat prices set for 'worst quarter since 2007' Opinion: wheat's best hope may lie in inflation  /* customize styles to your web.site */ .mp_releases_box {  border: solid #999999 1px.;0.5574;2009-07-08 00:00:00
31890;Read across to wheat While barley is a relatively small crop for Landkom.;0.0;2009-07-09 00:00:00
31890;the source said there was a read across to wheat which.;0.0;2009-07-09 00:00:00
31890;"""It is a good indicator of what might be expected from wheat.""";0.4404;2009-07-09 00:00:00
31890;Ukraine's overall wheat harvest is pegged by UkrAgroConsult at 19.4m tonnes.;0.0;2009-07-09 00:00:00
31890;While Landkom beat the average yield for winter wheat last year.;0.0;2009-07-09 00:00:00
31890;its spring wheat crop came in at 1.0 tonnes per hectare after heavy rain delayed harvesting.;-0.2263;2009-07-09 00:00:00
31890;in a note which forecast a Landkom wheat yield of 4.25 tonnes per hectare.;0.0;2009-07-09 00:00:00
31892;9  Jul 2009. by Agrimoney.com Weather blesses US wheat.;0.5574;2009-07-09 00:00:00
31892;and hurts Russia's Weather is favouring US wheat growers over their Russian counterparts.;-0.2023;2009-07-09 00:00:00
31892;to increase its prediction for American wheat production this year by 2.5m tonnes to 57.2m tonnes (2.11bn bushels).;0.3182;2009-07-09 00:00:00
31892;The revision in investors' thinking follows last week's USDA estimate of higher.than.expected plantings and benign US weather both for spring wheat seedlings and the ongoing harvesting of the winter crop.;0.3182;2009-07-09 00:00:00
31892;Production at the levels investors are expectingwouldmake this year's wheat cropone of the strongest on record.;0.4404;2009-07-09 00:00:00
31892;analysts are cutting forecasts for Russian crops following drought in parts of the south and west of the country which has held back development of spring wheat.;-0.128;2009-07-09 00:00:00
31892;with wheat accounting for much of the reduction.;0.0;2009-07-09 00:00:00
31892;While Russia has had a good winter wheat harvest.;0.4404;2009-07-09 00:00:00
31892;this summer'sspring wheat harvest would.;0.0;2009-07-09 00:00:00
31892;in official estimates for American wheat stocks at the end of the 2009.10 marketing year.;0.0;2009-07-09 00:00:00
31892;High quality of US wheat 'could revive prices' Combine shortage threat to Russia's harvest Opinion: why Russia may be dear to Deere  /* customize styles to your web.site */ .mp_releases_box {  border: solid #999999 1px.;0.0516;2009-07-09 00:00:00
31924;10  Jul 2009. by Agrimoney.com Argentine wheat exports to hit lowest since 1980s The damage caused by drought to grain growing areas has left Argentina on course for its lowest wheat exports for more than 20 years.;-0.7717;2009-07-10 00:00:00
31924;The revival in Argentina's wheat crop will be much lower in 2009.10 than had been hoped.;0.1027;2009-07-10 00:00:00
31924;the new forecast level implies that Argentina's wheat growers will continue to punch well below their historical weight.;0.2732;2009-07-10 00:00:00
31924;Argentine wheat exports will fall to 4.0m in 2009.10. the USDA said.;0.0;2009-07-10 00:00:00
31924;low wheat shipments maypresenta headache for the government too.;-0.2732;2009-07-10 00:00:00
31924;the USDA report added 420.000 tonnes to estimates for global wheat production in 2009.10. thanks to promising crops in the US and the former Soviet bloc.defying the forecast cuts being made by many analysts in the region.;0.5267;2009-07-10 00:00:00
31924;Russia's wheat harvest was on track to hit 60m tonnes.;0.0;2009-07-10 00:00:00
31924;September wheat.;0.0;2009-07-10 00:00:00
31924;European wheats also finished in negative territory.;-0.5719;2009-07-10 00:00:00
31924;for now Weather blesses US wheat and hurts Russia's High quality of US wheat 'could revive prices'  /* customize styles to your web.site */ .mp_releases_box {  border: solid #999999 1px.;0.5423;2009-07-10 00:00:00
31947;Chicago wheat lots are down 7.8% over the three weeks despite a small increase in the latest period.;-0.2411;2009-07-13 00:00:00
31986;Wheat 'explosion' Theimpact of high prices in raising cropoutput was evident in farmers' reaction to the 2008 spike in wheat prices.;0.0;2009-07-15 00:00:00
31986;"""Eventually those prices brought an explosion in global wheat production.";0.0;2009-07-15 00:00:00
